ROW ID,CASE_OWNER_AGENCY,CONTENT
1,AA,"Re: FW: Renovation noise renovation noise nuisance at Blk 330 Woodlands Ave 1 #07-433_Your Ref		       TEL			 
	 Our Ref 		       FAX			 
			       Email		Categories 	 


		
		
		
		



		


	Classification :	
	Cee L <kizuha8@gmail.com>
	
	01/08/2017 03:33 AM
	
			
			To: QSM@mailbox.hdb.gov.sg
		
			cc: 
		
		
		
			Subject: Re: FW: Renovation noise renovation noise nuisance at Blk 330 
Woodlands Ave 1 #07-433





What is the status of the performance review of the unqualified """"""""Senior 
Principal Estate Executive"""""""" requested over 5 weeks ago on 13th June?
WHO have you assigned as an independent reviewer from OUTSIDE the Woodlands 
branch to assess the work ineptitude of the “Senior Principal Estate Executive” 
and the ENTIRE SHAMBOLIC BRANCH under the incompetent management of the 
substandard """"""""Senior Principal Estate Executive"""""""".


On Fri, Jul 14, 2017 at 4:15 PM, Cee L <kizuha8@gmail.com> wrote:


What is the STATUS of the Woodlands “Senior Principal Estate Executive” 
performance review requested from you (QSM@mailbox.hdb.gov.sg) THREE WEEKS AGO?

WHO have you assigned as an independent reviewer from OUTSIDE the Woodlands 
branch to assess the work ineptitude of the “Senior Principal Estate Executive”.




Do you hire your “Senior Principal Estate Executive” straight out 
of kindergarten  So completely devoid of even an iota of rationality it’s 
risible Primary school education was even completed.




The July 7th reply from the “Senior Principal Estate Executive” to my 23rd June 
email was a utter farce.




First the “Senior Principal Estate Executive” had no understanding of the word 
‘Must’.

Now the “Senior Principal Estate Executive” demonstrated no grasp of how 
questions and answers work.

How the “Senior Principal Estate Executive” is NOT ASHAMED to sign off as 
“Senior Principal Estate Executive” is beyond the pale.




There were no less than 30 question marks in my 23rd June email.

You do know what “?” represents right or do you need a child to educate you on 
that as well? 

“Senior Principal Estate Executive” DID NOT ANSWER A SINGLE QUESTION.




Instead, once again, “Senior Principal Estate Executive” INEXPLICABLY GAVE 
IRRELEVANT INFORMATION.




Did I ask about the occupancy status? NO!!!

It’s completely IRRELEVANT and I couldn’t care less if the unit was occupied. 

It’s IMMATERIAL. HOW ARE YOU NOT GETTING THIS???

(I don’t even know why it takes you 2 weeks (23/06-7/7) to find out that the 
owners have moved in - I knew that way before 7th July.)

Really. What is wrong with the “Senior Principal Estate Executive”? 

Does the “Senior Principal Estate Executive” have ADHD? 

Throw in a medical assessment along with that work performance review!

Was the “Senior Principal Estate Executive” EVER competent in any capacity?




I CANNOT keep going round and round in circles with these jokers. 




7th July email from “Senior Principal Estate Executive” alleging “We have 
earlier replied to you on the matter.” is a LIE.

There was NO reply to my 23rd June email PRIOR to the dismal 7th July email.




Is this the kind of “quality service” you as Quality Service Manager advocate?

Lies, questions not answered, tardy rate of response, no understanding and 
implementation of HDB rules, no repercussions for failure to enforce 
regulations, etc.




Please get someone NOT FROM the Woodlands branch to not only assess the “Senior 
Principal Estate Executive” but review this whole fiasco as well. DO NOT just 
send this email straight back to the Woodlands “Senior Principal Estate 
Executive”. If I wanted that, I could have done so directly without you (QSM). 
How can you have someone so unqualified for the “Senior Principal Estate 
Executive” position be in charge of the Woodlands branch??? Absolute disgrace.


On Fri, Jul 7, 2017 at 2:06 PM, Henry TB KUM (HDB) <Henry_TB_KUM@hdb.gov.sg>
 wrote:

 

HOUSING & DEVELOPMENT BOARD

                

 

Your Ref :            

Our Ref   :            

Date        :             07 Jul 2017

TEL         :               18002255432

FAX         :              68543238 

EMAIL    :              

 

Ms Cee L

Block 330 Woodlands Ave 1

Singapore 730330

 

Dear Ms Cee L,

 

RENOVATION NOISE NUISANCE AT BLK 330 WOODLANDS AVE 1 #07-433

 

Please refer to your feedback on the renovation noise nuisance at Blk 330 
Woodlands Ave 1 #07-433.

 

We have earlier replied to you on the matter. 

 

The owners of Blk 330 Woodlands Ave 1 #07-433 have moved in and we have 
continued to monitor if there is any noise nuisance from them as we have 
advised them previously.

 

For further clarification, please contact our Senior Estate Executive 
at Henry_TB_KUM@hdb.gov.sg.

 

Yours sincerely,

 

<signed>

Tan Hock Lok

Senior Principal Estate Executive

Woodlands Branch

Housing Management Group

 


cid:image001.png"
2,BB,req SPE to call him regard the stall holders outside the yellow boxes used microphone very loud @ weekend from 8am to 11am weekdays only once in a while_
3,CC,#01-107 making alot of noise using trolley doing loading & unloading of goods(using masking tape). No action taken by t/cil till today._
4,AA,ment unit started drilling before 8 and after 5.. BO to check_ment unit started drilling before 8 and after 5.. BO to check
5,BB,"tt f/bk the ment unit n/bour doing heavy hacking works for past few day,accordingly on the permit the hacking works only allow on the 3day unit owner applied, but this unit doing hacking very often & never follow the guideline&regulation . tt req HDB to do check now and advise_tt f/bk the ment unit n/bour doing heavy hacking works for past few day,accordingly on the permit the hacking works only allow on the 3day unit owner applied, but this unit doing hacking very often & never follow the guideline&regulation . tt req HDB to do check now and advise"
6,CC,10am to 11am - resd f/b that the many PRC everyday dancing with loud music. request to lower down the volume._
7,AA,renovation period over but ment unit still knocking evening and morning. bo pls check_renovation period over but ment unit still knocking evening and morning. bo pls check
8,BB,"Feedback on noise coming from renovation at 133 CASHEW ROAD HDB-BUKIT PANJANG SINGAPORE 670133_callteamNEA-Roland 

Feedback on noise coming from renovation at 133 CASHEW ROAD HDB-BUKIT PANJANG 
SINGAPORE 670133


Caller describe the noise as loud drilling and its over the allowed limit.

Kindly assist, thank you."
9,CC,"upgrading of lift, hacking still on going req to stop. caller had to suffer the noise until 1 year. Attn t/cil._"
10,AA,"ref case 12022609, res called back to inf HDB officer has called and spoken to him. To convey thanks to oic._"
